e1;10;21180;0.0238269003777151;0.0145326017077055;0.0994999999999999;-53.055193578848;29.4415084736714;199
e1;100;
e1;200;
e1;300;
e1;400;
e1;500;
e1;600;
e1;700;
e1;800;
e1;900;
e1;1000;
e1;1100;
e1;1200;
e1;1300;
e1;1400;
e1;1500;
e1;1600;
e1;1700;
e1;1800;
e1;1900;
e1;2000;
e1;2100;
e1;2200;
e1;2300;
e1;2400;
e1;2500;
e1;2600;
e1;2700;
e1;2800;
e1;2900;
e1;3000;

e2;10;
e2;100;
e2;200;
e2;300;
e2;400;
e2;500;
e2;600;
e2;700;
e2;800;
e2;900;
e2;1000;
e2;1100;
e2;1200;
e2;1300;
e2;1400;
e2;1500;
e2;1600;
e2;1700;
e2;1800;
e2;1900;
e2;2000;
e2;2100;
e2;2200;
e2;2300;
e2;2400;
e2;2500;
e2;2600;
e2;2700;
e2;2800;
e2;2900;
e2;3000;
